# WFCD warframe-drop-data relics.json — relic reward table.
# reward_name resolves to a catalog slug at runtime (normalize_name); Forma/Kuva/etc. stay unpriced.
# tier	relic_name	refinement	reward_name	chance
Axi	A1	Exceptional	Akstiletto Prime Barrel	13
Axi	A1	Exceptional	Braton Prime Stock	23.33
Axi	A1	Exceptional	Dual Kamas Prime Handle	13
Axi	A1	Exceptional	Fragor Prime Head	23.33
Axi	A1	Exceptional	Nikana Prime Blueprint	4
Axi	A1	Exceptional	Trinity Prime Systems Blueprint	23.33
Axi	A1	Flawless	Akstiletto Prime Barrel	17
Axi	A1	Flawless	Braton Prime Stock	20
Axi	A1	Flawless	Dual Kamas Prime Handle	17
Axi	A1	Flawless	Fragor Prime Head	20
Axi	A1	Flawless	Nikana Prime Blueprint	6
Axi	A1	Flawless	Trinity Prime Systems Blueprint	20
Axi	A1	Intact	Akstiletto Prime Barrel	11
Axi	A1	Intact	Braton Prime Stock	25.33
Axi	A1	Intact	Dual Kamas Prime Handle	11
Axi	A1	Intact	Fragor Prime Head	25.33
Axi	A1	Intact	Nikana Prime Blueprint	2
Axi	A1	Intact	Trinity Prime Systems Blueprint	25.33
Axi	A1	Radiant	Akstiletto Prime Barrel	20
Axi	A1	Radiant	Braton Prime Stock	16.67
Axi	A1	Radiant	Dual Kamas Prime Handle	20
Axi	A1	Radiant	Fragor Prime Head	16.67
Axi	A1	Radiant	Nikana Prime Blueprint	10
Axi	A1	Radiant	Trinity Prime Systems Blueprint	16.67
Axi	A10	Exceptional	Akbronco Prime Blueprint	23.33
Axi	A10	Exceptional	Aksomati Prime Link	4
Axi	A10	Exceptional	Forma Blueprint	23.33
Axi	A10	Exceptional	Paris Prime Grip	13
Axi	A10	Exceptional	Stradavar Prime Receiver	23.33
Axi	A10	Exceptional	Wukong Prime Chassis Blueprint	13
Axi	A10	Flawless	Akbronco Prime Blueprint	20
Axi	A10	Flawless	Aksomati Prime Link	6
Axi	A10	Flawless	Forma Blueprint	20
Axi	A10	Flawless	Paris Prime Grip	17
Axi	A10	Flawless	Stradavar Prime Receiver	20
Axi	A10	Flawless	Wukong Prime Chassis Blueprint	17
Axi	A10	Intact	Akbronco Prime Blueprint	25.33
Axi	A10	Intact	Aksomati Prime Link	2
Axi	A10	Intact	Forma Blueprint	25.33
Axi	A10	Intact	Paris Prime Grip	11
Axi	A10	Intact	Stradavar Prime Receiver	25.33
Axi	A10	Intact	Wukong Prime Chassis Blueprint	11
Axi	A10	Radiant	Akbronco Prime Blueprint	16.67
Axi	A10	Radiant	Aksomati Prime Link	10
Axi	A10	Radiant	Forma Blueprint	16.67
Axi	A10	Radiant	Paris Prime Grip	20
Axi	A10	Radiant	Stradavar Prime Receiver	16.67
Axi	A10	Radiant	Wukong Prime Chassis Blueprint	20
Axi	A11	Exceptional	Atlas Prime Neuroptics Blueprint	4
Axi	A11	Exceptional	Burston Prime Receiver	23.33
Axi	A11	Exceptional	Fang Prime Blueprint	23.33
Axi	A11	Exceptional	Pangolin Prime Blade	13
Axi	A11	Exceptional	Wukong Prime Systems Blueprint	13
Axi	A11	Exceptional	Zhuge Prime String	23.33
Axi	A11	Flawless	Atlas Prime Neuroptics Blueprint	6
Axi	A11	Flawless	Burston Prime Receiver	20
Axi	A11	Flawless	Fang Prime Blueprint	20
Axi	A11	Flawless	Pangolin Prime Blade	17
Axi	A11	Flawless	Wukong Prime Systems Blueprint	17
Axi	A11	Flawless	Zhuge Prime String	20
Axi	A11	Intact	Atlas Prime Neuroptics Blueprint	2
Axi	A11	Intact	Burston Prime Receiver	25.33
Axi	A11	Intact	Fang Prime Blueprint	25.33
Axi	A11	Intact	Pangolin Prime Blade	11
Axi	A11	Intact	Wukong Prime Systems Blueprint	11
Axi	A11	Intact	Zhuge Prime String	25.33
Axi	A11	Radiant	Atlas Prime Neuroptics Blueprint	10
Axi	A11	Radiant	Burston Prime Receiver	16.67
Axi	A11	Radiant	Fang Prime Blueprint	16.67
Axi	A11	Radiant	Pangolin Prime Blade	20
Axi	A11	Radiant	Wukong Prime Systems Blueprint	20
Axi	A11	Radiant	Zhuge Prime String	16.67
Axi	A12	Exceptional	Akbolto Prime Receiver	4
Axi	A12	Exceptional	Banshee Prime Blueprint	13
Axi	A12	Exceptional	Forma Blueprint	23.33
Axi	A12	Exceptional	Helios Prime Systems	13
Axi	A12	Exceptional	Kogake Prime Boot	23.33
Axi	A12	Exceptional	Mirage Prime Chassis Blueprint	23.33
Axi	A12	Flawless	Akbolto Prime Receiver	6
Axi	A12	Flawless	Banshee Prime Blueprint	17
Axi	A12	Flawless	Forma Blueprint	20
Axi	A12	Flawless	Helios Prime Systems	17
Axi	A12	Flawless	Kogake Prime Boot	20
Axi	A12	Flawless	Mirage Prime Chassis Blueprint	20
Axi	A12	Intact	Akbolto Prime Receiver	2
Axi	A12	Intact	Banshee Prime Blueprint	11
Axi	A12	Intact	Forma Blueprint	25.33
Axi	A12	Intact	Helios Prime Systems	11
Axi	A12	Intact	Kogake Prime Boot	25.33
Axi	A12	Intact	Mirage Prime Chassis Blueprint	25.33
Axi	A12	Radiant	Akbolto Prime Receiver	10
Axi	A12	Radiant	Banshee Prime Blueprint	20
Axi	A12	Radiant	Forma Blueprint	16.67
Axi	A12	Radiant	Helios Prime Systems	20
Axi	A12	Radiant	Kogake Prime Boot	16.67
Axi	A12	Radiant	Mirage Prime Chassis Blueprint	16.67
Axi	A13	Exceptional	Aksomati Prime Link	4
Axi	A13	Exceptional	Burston Prime Receiver	23.33
Axi	A13	Exceptional	Forma Blueprint	23.33
Axi	A13	Exceptional	Inaros Prime Systems Blueprint	23.33
Axi	A13	Exceptional	Orthos Prime Blueprint	13
Axi	A13	Exceptional	Pangolin Prime Blade	13
Axi	A13	Flawless	Aksomati Prime Link	6
Axi	A13	Flawless	Burston Prime Receiver	20
Axi	A13	Flawless	Forma Blueprint	20
Axi	A13	Flawless	Inaros Prime Systems Blueprint	20
Axi	A13	Flawless	Orthos Prime Blueprint	17
Axi	A13	Flawless	Pangolin Prime Blade	17
Axi	A13	Intact	Aksomati Prime Link	2
Axi	A13	Intact	Burston Prime Receiver	25.33
Axi	A13	Intact	Forma Blueprint	25.33
Axi	A13	Intact	Inaros Prime Systems Blueprint	25.33
Axi	A13	Intact	Orthos Prime Blueprint	11
Axi	A13	Intact	Pangolin Prime Blade	11
Axi	A13	Radiant	Aksomati Prime Link	10
Axi	A13	Radiant	Burston Prime Receiver	16.67
Axi	A13	Radiant	Forma Blueprint	16.67
Axi	A13	Radiant	Inaros Prime Systems Blueprint	16.67
Axi	A13	Radiant	Orthos Prime Blueprint	20
Axi	A13	Radiant	Pangolin Prime Blade	20
Axi	A14	Exceptional	Aksomati Prime Link	4
Axi	A14	Exceptional	Karyst Prime Handle	13
Axi	A14	Exceptional	Nidus Prime Blueprint	13
Axi	A14	Exceptional	Paris Prime Blueprint	23.33
Axi	A14	Exceptional	Volnus Prime Blueprint	23.33
Axi	A14	Exceptional	Zakti Prime Receiver	23.33
Axi	A14	Flawless	Aksomati Prime Link	6
Axi	A14	Flawless	Karyst Prime Handle	17
Axi	A14	Flawless	Nidus Prime Blueprint	17
Axi	A14	Flawless	Paris Prime Blueprint	20
Axi	A14	Flawless	Volnus Prime Blueprint	20
Axi	A14	Flawless	Zakti Prime Receiver	20
Axi	A14	Intact	Aksomati Prime Link	2
Axi	A14	Intact	Karyst Prime Handle	11
Axi	A14	Intact	Nidus Prime Blueprint	11
Axi	A14	Intact	Paris Prime Blueprint	25.33
Axi	A14	Intact	Volnus Prime Blueprint	25.33
Axi	A14	Intact	Zakti Prime Receiver	25.33
Axi	A14	Radiant	Aksomati Prime Link	10
Axi	A14	Radiant	Karyst Prime Handle	20
Axi	A14	Radiant	Nidus Prime Blueprint	20
Axi	A14	Radiant	Paris Prime Blueprint	16.67
Axi	A14	Radiant	Volnus Prime Blueprint	16.67
Axi	A14	Radiant	Zakti Prime Receiver	16.67
Axi	A15	Exceptional	Aksomati Prime Link	4
Axi	A15	Exceptional	Baza Prime Receiver	23.33
Axi	A15	Exceptional	Forma Blueprint	23.33
Axi	A15	Exceptional	Ivara Prime Systems Blueprint	13
Axi	A15	Exceptional	Oberon Prime Systems Blueprint	13
Axi	A15	Exceptional	Sybaris Prime Stock	23.33
Axi	A15	Flawless	Aksomati Prime Link	6
Axi	A15	Flawless	Baza Prime Receiver	20
Axi	A15	Flawless	Forma Blueprint	20
Axi	A15	Flawless	Ivara Prime Systems Blueprint	17
Axi	A15	Flawless	Oberon Prime Systems Blueprint	17
Axi	A15	Flawless	Sybaris Prime Stock	20
Axi	A15	Intact	Aksomati Prime Link	2
Axi	A15	Intact	Baza Prime Receiver	25.33
Axi	A15	Intact	Forma Blueprint	25.33
Axi	A15	Intact	Ivara Prime Systems Blueprint	11
Axi	A15	Intact	Oberon Prime Systems Blueprint	11
Axi	A15	Intact	Sybaris Prime Stock	25.33
Axi	A15	Radiant	Aksomati Prime Link	10
Axi	A15	Radiant	Baza Prime Receiver	16.67
Axi	A15	Radiant	Forma Blueprint	16.67
Axi	A15	Radiant	Ivara Prime Systems Blueprint	20
Axi	A15	Radiant	Oberon Prime Systems Blueprint	20
Axi	A15	Radiant	Sybaris Prime Stock	16.67
Axi	A16	Exceptional	Afuris Prime Receiver	4
Axi	A16	Exceptional	Braton Prime Blueprint	23.33
Axi	A16	Exceptional	Fang Prime Handle	23.33
Axi	A16	Exceptional	Harrow Prime Neuroptics Blueprint	13
Axi	A16	Exceptional	Revenant Prime Systems Blueprint	13
Axi	A16	Exceptional	Scourge Prime Blade	23.33
Axi	A16	Flawless	Afuris Prime Receiver	6
Axi	A16	Flawless	Braton Prime Blueprint	20
Axi	A16	Flawless	Fang Prime Handle	20
Axi	A16	Flawless	Harrow Prime Neuroptics Blueprint	17
Axi	A16	Flawless	Revenant Prime Systems Blueprint	17
Axi	A16	Flawless	Scourge Prime Blade	20
Axi	A16	Intact	Afuris Prime Receiver	2
Axi	A16	Intact	Braton Prime Blueprint	25.33
Axi	A16	Intact	Fang Prime Handle	25.33
Axi	A16	Intact	Harrow Prime Neuroptics Blueprint	11
Axi	A16	Intact	Revenant Prime Systems Blueprint	11
Axi	A16	Intact	Scourge Prime Blade	25.33
Axi	A16	Radiant	Afuris Prime Receiver	10
Axi	A16	Radiant	Braton Prime Blueprint	16.67
Axi	A16	Radiant	Fang Prime Handle	16.67
Axi	A16	Radiant	Harrow Prime Neuroptics Blueprint	20
Axi	A16	Radiant	Revenant Prime Systems Blueprint	20
Axi	A16	Radiant	Scourge Prime Blade	16.67
Axi	A17	Exceptional	Afuris Prime Receiver	4
Axi	A17	Exceptional	Braton Prime Barrel	23.33
Axi	A17	Exceptional	Forma Blueprint	23.33
