# WFCD warframe-items Relics.json — DE projection uniqueName -> relic identity.
# unique_name	tier	relic_name	refinement
/Lotus/Types/Game/Projections/T1VoidProjectionABronze	Lith	S1	Intact
/Lotus/Types/Game/Projections/T1VoidProjectionAGold	Lith	S1	Flawless
/Lotus/Types/Game/Projections/T1VoidProjectionAPlatinum	Lith	S1	Radiant
/Lotus/Types/Game/Projections/T1VoidProjectionASilver	Lith	S1	Exceptional
/Lotus/Types/Game/Projections/T1VoidProjectionAshVaubanVaultABronze	Lith	V7	Intact
/Lotus/Types/Game/Projections/T1VoidProjectionAshVaubanVaultAGold	Lith	V7	Flawless
/Lotus/Types/Game/Projections/T1VoidProjectionAshVaubanVaultAPlatinum	Lith	V7	Radiant
/Lotus/Types/Game/Projections/T1VoidProjectionAshVaubanVaultASilver	Lith	V7	Exceptional
/Lotus/Types/Game/Projections/T1VoidProjectionAshVaubanVaultBBronze	Lith	V8	Intact
/Lotus/Types/Game/Projections/T1VoidProjectionAshVaubanVaultBGold	Lith	V8	Flawless
/Lotus/Types/Game/Projections/T1VoidProjectionAshVaubanVaultBPlatinum	Lith	V8	Radiant
/Lotus/Types/Game/Projections/T1VoidProjectionAshVaubanVaultBSilver	Lith	V8	Exceptional
/Lotus/Types/Game/Projections/T1VoidProjectionAtlasPrimeABronze	Lith	S8	Intact
/Lotus/Types/Game/Projections/T1VoidProjectionAtlasPrimeAGold	Lith	S8	Flawless
/Lotus/Types/Game/Projections/T1VoidProjectionAtlasPrimeAPlatinum	Lith	S8	Radiant
/Lotus/Types/Game/Projections/T1VoidProjectionAtlasPrimeASilver	Lith	S8	Exceptional
/Lotus/Types/Game/Projections/T1VoidProjectionAtlasPrimeBBronze	Lith	L2	Intact
/Lotus/Types/Game/Projections/T1VoidProjectionAtlasPrimeBGold	Lith	L2	Flawless
/Lotus/Types/Game/Projections/T1VoidProjectionAtlasPrimeBPlatinum	Lith	L2	Radiant
/Lotus/Types/Game/Projections/T1VoidProjectionAtlasPrimeBSilver	Lith	L2	Exceptional
/Lotus/Types/Game/Projections/T1VoidProjectionAtlasPrimeCBronze	Lith	D1	Intact
/Lotus/Types/Game/Projections/T1VoidProjectionAtlasPrimeCGold	Lith	D1	Flawless
/Lotus/Types/Game/Projections/T1VoidProjectionAtlasPrimeCPlatinum	Lith	D1	Radiant
/Lotus/Types/Game/Projections/T1VoidProjectionAtlasPrimeCSilver	Lith	D1	Exceptional
/Lotus/Types/Game/Projections/T1VoidProjectionAtlasPrimeDBronze	Lith	K3	Intact
/Lotus/Types/Game/Projections/T1VoidProjectionAtlasPrimeDGold	Lith	K3	Flawless
/Lotus/Types/Game/Projections/T1VoidProjectionAtlasPrimeDPlatinum	Lith	K3	Radiant
/Lotus/Types/Game/Projections/T1VoidProjectionAtlasPrimeDSilver	Lith	K3	Exceptional
/Lotus/Types/Game/Projections/T1VoidProjectionAtlasVaubanVaultABronze	Lith	A5	Intact
/Lotus/Types/Game/Projections/T1VoidProjectionAtlasVaubanVaultAGold	Lith	A5	Flawless
/Lotus/Types/Game/Projections/T1VoidProjectionAtlasVaubanVaultAPlatinum	Lith	A5	Radiant
/Lotus/Types/Game/Projections/T1VoidProjectionAtlasVaubanVaultASilver	Lith	A5	Exceptional
/Lotus/Types/Game/Projections/T1VoidProjectionAtlasVaubanVaultBBronze	Lith	V9	Intact
/Lotus/Types/Game/Projections/T1VoidProjectionAtlasVaubanVaultBGold	Lith	V9	Flawless
/Lotus/Types/Game/Projections/T1VoidProjectionAtlasVaubanVaultBPlatinum	Lith	V9	Radiant
/Lotus/Types/Game/Projections/T1VoidProjectionAtlasVaubanVaultBSilver	Lith	V9	Exceptional
/Lotus/Types/Game/Projections/T1VoidProjectionBBronze	Lith	S2	Intact
/Lotus/Types/Game/Projections/T1VoidProjectionBGold	Lith	S2	Flawless
/Lotus/Types/Game/Projections/T1VoidProjectionBPlatinum	Lith	S2	Radiant
/Lotus/Types/Game/Projections/T1VoidProjectionBSilver	Lith	S2	Exceptional
/Lotus/Types/Game/Projections/T1VoidProjectionBansheeMirageVaultABronze	Lith	K5	Intact
/Lotus/Types/Game/Projections/T1VoidProjectionBansheeMirageVaultAGold	Lith	K5	Flawless
/Lotus/Types/Game/Projections/T1VoidProjectionBansheeMirageVaultAPlatinum	Lith	K5	Radiant
/Lotus/Types/Game/Projections/T1VoidProjectionBansheeMirageVaultASilver	Lith	K5	Exceptional
/Lotus/Types/Game/Projections/T1VoidProjectionBansheeMirageVaultBBronze	Lith	M7	Intact
/Lotus/Types/Game/Projections/T1VoidProjectionBansheeMirageVaultBGold	Lith	M7	Flawless
/Lotus/Types/Game/Projections/T1VoidProjectionBansheeMirageVaultBPlatinum	Lith	M7	Radiant
/Lotus/Types/Game/Projections/T1VoidProjectionBansheeMirageVaultBSilver	Lith	M7	Exceptional
/Lotus/Types/Game/Projections/T1VoidProjectionBaruukPrimeABronze	Lith	G6	Intact
/Lotus/Types/Game/Projections/T1VoidProjectionBaruukPrimeAGold	Lith	G6	Flawless
/Lotus/Types/Game/Projections/T1VoidProjectionBaruukPrimeAPlatinum	Lith	G6	Radiant
/Lotus/Types/Game/Projections/T1VoidProjectionBaruukPrimeASilver	Lith	G6	Exceptional
/Lotus/Types/Game/Projections/T1VoidProjectionBaruukPrimeBBronze	Lith	H7	Intact
/Lotus/Types/Game/Projections/T1VoidProjectionBaruukPrimeBGold	Lith	H7	Flawless
/Lotus/Types/Game/Projections/T1VoidProjectionBaruukPrimeBPlatinum	Lith	H7	Radiant
/Lotus/Types/Game/Projections/T1VoidProjectionBaruukPrimeBSilver	Lith	H7	Exceptional
/Lotus/Types/Game/Projections/T1VoidProjectionBaruukPrimeCBronze	Lith	B10	Intact
/Lotus/Types/Game/Projections/T1VoidProjectionBaruukPrimeCGold	Lith	B10	Flawless
/Lotus/Types/Game/Projections/T1VoidProjectionBaruukPrimeCPlatinum	Lith	B10	Radiant
/Lotus/Types/Game/Projections/T1VoidProjectionBaruukPrimeCSilver	Lith	B10	Exceptional
/Lotus/Types/Game/Projections/T1VoidProjectionCBronze	Lith	F1	Intact
/Lotus/Types/Game/Projections/T1VoidProjectionCGold	Lith	F1	Flawless
/Lotus/Types/Game/Projections/T1VoidProjectionCPlatinum	Lith	F1	Radiant
/Lotus/Types/Game/Projections/T1VoidProjectionCSilver	Lith	F1	Exceptional
/Lotus/Types/Game/Projections/T1VoidProjectionCalibanPrimeABronze	Lith	C13	Intact
/Lotus/Types/Game/Projections/T1VoidProjectionCalibanPrimeAGold	Lith	C13	Flawless
/Lotus/Types/Game/Projections/T1VoidProjectionCalibanPrimeAPlatinum	Lith	C13	Radiant
/Lotus/Types/Game/Projections/T1VoidProjectionCalibanPrimeASilver	Lith	C13	Exceptional
/Lotus/Types/Game/Projections/T1VoidProjectionCalibanPrimeBBronze	Lith	N17	Intact
/Lotus/Types/Game/Projections/T1VoidProjectionCalibanPrimeBGold	Lith	N17	Flawless
/Lotus/Types/Game/Projections/T1VoidProjectionCalibanPrimeBPlatinum	Lith	N17	Radiant
/Lotus/Types/Game/Projections/T1VoidProjectionCalibanPrimeBSilver	Lith	N17	Exceptional
/Lotus/Types/Game/Projections/T1VoidProjectionCalibanPrimeCBronze	Lith	O4	Intact
/Lotus/Types/Game/Projections/T1VoidProjectionCalibanPrimeCGold	Lith	O4	Flawless
/Lotus/Types/Game/Projections/T1VoidProjectionCalibanPrimeCPlatinum	Lith	O4	Radiant
/Lotus/Types/Game/Projections/T1VoidProjectionCalibanPrimeCSilver	Lith	O4	Exceptional
/Lotus/Types/Game/Projections/T1VoidProjectionCalibanPrimeDBronze	Lith	E2	Intact
/Lotus/Types/Game/Projections/T1VoidProjectionCalibanPrimeDGold	Lith	E2	Flawless
/Lotus/Types/Game/Projections/T1VoidProjectionCalibanPrimeDPlatinum	Lith	E2	Radiant
