# Arbiters_of_Hexis offerings — seeded from wiki.warframe.com by scripts/scrape_vendors.py
# item	cost	currency	rank	slug_hint
Arbiter Of Hexis Sigil	1000	standing	1	
5x Corrupted Lancer Specter	2500	standing	1	
Guiding Path Sigil	2500	standing	1	
Bending Will Sigil	5000	standing	1	
Discipline Sigil	7500	standing	1	
Syndicate Relic Pack	20000	standing	2	
Will Sigil	10000	standing	2	
Choice Sigil	15000	standing	2	
Decurion Barrel	20000	standing	2	
Phaedra Barrel	20000	standing	2	
Corvas Barrel	20000	standing	2	
Grasp Sigil	12000	standing	3	
Potential Sigil	17000	standing	3	
Cyngas Barrel	20000	standing	3	
Centaur Aegis	20000	standing	3	
Squad Energy Restore (Large) Blueprint	25000	standing	3	
Gilded Truth	25000	standing	4	
Blade of Truth	25000	standing	4	
Avenging Truth	25000	standing	4	
Stinging Truth	25000	standing	4	
Succession Sigil	15000	standing	4	
Surpassing Sigil	20000	standing	4	
Medallion Sculpture	50000	standing	4	
Seeking Shuriken	25000	standing	5	
Smoke Shadow	25000	standing	5	
Teleport Rush	25000	standing	5	
Rising Storm	25000	standing	5	
Elusive Retribution	25000	standing	5	
Endless Lullaby	25000	standing	5	
Reactive Storm	25000	standing	5	
Duality	25000	standing	5	
Calm & Frenzy	25000	standing	5	
Peaceful Provocation	25000	standing	5	
Energy Transfer	25000	standing	5	
Surging Dash	25000	standing	5	
Radiant Finish	25000	standing	5	
Furious Javelin	25000	standing	5	
Chromatic Blade	25000	standing	5	
Warrior's Rest	25000	standing	5	
Shattered Storm	25000	standing	5	
Mending Splinters	25000	standing	5	
Spectrosiphon	25000	standing	5	
Mach Crash	25000	standing	5	
Thermal Transfer	25000	standing	5	
Conductive Sphere	25000	standing	5	
Coil Recharge	25000	standing	5	
Cathode Current	25000	standing	5	
Reverse Rotorswell	25000	standing	5	
Tribunal	25000	standing	5	
Warding Thurible	25000	standing	5	
Lasting Covenant	25000	standing	5	
Desiccation's Curse	25000	standing	5	
Elemental Sandstorm	25000	standing	5	
Negation Armor	25000	standing	5	
Jade's Judgment	25000	standing	5	
Omikuji's Fortune	25000	standing	5	
Rift Haven	25000	standing	5	
Rift Torrent	25000	standing	5	
Cataclysmic Continuum	25000	standing	5	
Savior Decoy	25000	standing	5	
Damage Decoy	25000	standing	5	
Hushed Invisibility	25000	standing	5	
Safeguard Switch	25000	standing	5	
Irradiating Disarm	25000	standing	5	
Hall of Malevolence	25000	standing	5	
Explosive Legerdemain	25000	standing	5	
Total Eclipse	25000	standing	5	
Mind Freak	25000	standing	5	
Pacifying Bolts	25000	standing	5	
Chaos Sphere	25000	standing	5	
Assimilate	25000	standing	5	
Repair Dispensary	25000	standing	5	
Temporal Artillery	25000	standing	5	
Temporal Erosion	25000	standing	5	
Axios Javelineers	25000	standing	5	
Tharros Lethality	25000	standing	5	
Intrepid Stand	25000	standing	5	
Shock Trooper	25000	standing	5	
Shocking Speed	25000	standing	5	
Transistor Shield	25000	standing	5	
Capacitance	25000	standing	5	
Celestial Stomp	25000	standing	5	
Enveloping Cloud	25000	standing	5	
Primal Rage	25000	standing	5	
Noctua Swarm	25000	standing	5	
Kumihimo Loading	25000	standing	5	
Truth Sigil	30000	standing	5	
Telos Akbolto	100000	standing	5	
Telos Boltor	125000	standing	5	
Telos Boltace	125000	standing	5	
Telos Syandana	100000	standing	5	
Arbiter's Tribunal Scene	100000	standing	5	
Lua Nursery Scene	100000	standing	5	
Lua Containment Scene	100000	standing	5	
Arbiters of Hexis Stencil	125000	standing	5	
Exilus Weapon Adapter Blueprint	75000	standing	5	
Arbiters Combat Emote	70000	standing	5	
Arbiters Engineering Emote	70000	standing	5	
Arbiters Gunnery Emote	70000	standing	5	
Arbiters Piloting Emote	70000	standing	5	
Arbiters Endurance Emote	70000	standing	5	
Hexis Armor Set	125000	standing	5	
Zanuka Arena Simulacrum	100000	standing	5	
Vosfor Cache	30000	standing	5	
