# Cephalon_Suda offerings — seeded from wiki.warframe.com by scripts/scrape_vendors.py
# item	cost	currency	rank	slug_hint
Cephalon Suda Sigil	1000	standing	1	
5x Shield Osprey Specter	2500	standing	1	
Query Sigil	2500	standing	1	
Searching Sigil	5000	standing	1	
Pattern Match Sigil	7500	standing	1	
Syndicate Relic Pack	20000	standing	2	
Atomic Sigil	10000	standing	2	
Manifold Sigil	15000	standing	2	
Decurion Receiver	20000	standing	2	
Velocitus Barrel	20000	standing	2	
Corvas Receiver	20000	standing	2	
Fractal Sigil	12000	standing	3	
Multivariate Sigil	17000	standing	3	
Cyngas Receiver	20000	standing	3	
Fluctus Barrel	20000	standing	3	
Squad Shield Restore (Large) Blueprint	25000	standing	3	
Entropy Spike	25000	standing	4	
Entropy Flight	25000	standing	4	
Entropy Detonation	25000	standing	4	
Entropy Burst	25000	standing	4	
Labyrinth Sigil	15000	standing	4	
Hexan Sigil	20000	standing	4	
Datum Sculpture	50000	standing	4	
Sonic Fracture	25000	standing	5	
Resonance	25000	standing	5	
Savage Silence	25000	standing	5	
Resonating Quake	25000	standing	5	
Razor Mortar	25000	standing	5	
Afterburn	25000	standing	5	
Everlasting Ward	25000	standing	5	
Vexing Retaliation	25000	standing	5	
Guardian Armor	25000	standing	5	
Guided Effigy	25000	standing	5	
Freeze Force	25000	standing	5	
Ice Wave Impedance	25000	standing	5	
Chilling Globe	25000	standing	5	
Icy Avalanche	25000	standing	5	
Biting Frost	25000	standing	5	
Balefire Surge	25000	standing	5	
Blazing Pillage	25000	standing	5	
Aegis Gale	25000	standing	5	
Viral Tempest	25000	standing	5	
Tidal Impunity	25000	standing	5	
Rousing Plunder	25000	standing	5	
Pilfering Swarm	25000	standing	5	
Empowered Quiver	25000	standing	5	
Piercing Navigator	25000	standing	5	
Infiltrate	25000	standing	5	
Concentrated Arrow	25000	standing	5	
Rift Haven	25000	standing	5	
Rift Torrent	25000	standing	5	
Cataclysmic Continuum	25000	standing	5	
Hall of Malevolence	25000	standing	5	
Explosive Legerdemain	25000	standing	5	
Total Eclipse	25000	standing	5	
Pyroclastic Flow	25000	standing	5	
Reaping Chakram	25000	standing	5	
Safeguard	25000	standing	5	
Divine Retribution	25000	standing	5	
Controlled Slide	25000	standing	5	
Neutron Star	25000	standing	5	
Antimatter Absorb	25000	standing	5	
Escape Velocity	25000	standing	5	
Molecular Fission	25000	standing	5	
Partitioned Mallet	25000	standing	5	
Conductor	25000	standing	5	
Wrecking Wall	25000	standing	5	
Fused Crucible	25000	standing	5	
Thrall Pact	25000	standing	5	
Mesmer Shield	25000	standing	5	
Blinding Reave	25000	standing	5	
Shadow Haze	25000	standing	5	
Dark Propagation	25000	standing	5	
Tesla Bank	25000	standing	5	
Repelling Bastille	25000	standing	5	
Photon Repeater	25000	standing	5	
Fused Reservoir	25000	standing	5	
Critical Surge	25000	standing	5	
Cataclysmic Gate	25000	standing	5	
Vampiric Grasp	25000	standing	5	
The Relentless Lost	25000	standing	5	
Untime Rift	25000	standing	5	
Merulina Guardian	25000	standing	5	
Loyal Merulina	25000	standing	5	
Surging Blades	25000	standing	5	
Noctua Swarm	25000	standing	5	
Oracle Sigil	30000	standing	5	
Synoid Gammacor	100000	standing	5	
Synoid Simulor	125000	standing	5	
Synoid Heliocor	125000	standing	5	
Synoid Syandana	100000	standing	5	
Suda's Datascape Scene	100000	standing	5	
Hunhow's Datascape Scene	100000	standing	5	
Corpus Ice Planet Wreckage Scene	100000	standing	5	
Chamber Of The Lotus Scene	100000	standing	5	
Cephalon Suda Stencil	125000	standing	5	
Exilus Weapon Adapter Blueprint	75000	standing	5	
Cephalon Suda Combat Emote	70000	standing	5	
Cephalon Suda Engineering Emote	70000	standing	5	
Cephalon Suda Gunnery Emote	70000	standing	5	
Cephalon Suda Piloting Emote	70000	standing	5	
Cephalon Suda Endurance Emote	70000	standing	5	
Suda Armor Set	125000	standing	5	
Orokin Derelict Simulacrum	100000	standing	5	
Vosfor Cache	30000	standing	5	
