# Entrati offerings — seeded from wiki.warframe.com by scripts/scrape_vendors.py
# item	cost	currency	rank	slug_hint
Vermisplicer Blueprint	500	standing	0	
Sporelacer Blueprint	500	standing	0	
Macro Arcroid Blueprint	500	standing	0	
Thymoid Blueprint	500	standing	0	
Palmaris Blueprint	500	standing	0	
Ulnaris Blueprint	500	standing	0	
Keratinos Blueprint	1000	standing	0	
Keratinos Blade Blueprint	500	standing	0	
Keratinos Gauntlet Blueprint	500	standing	0	
Damaged Necramech Casing	2000	standing	0	
Damaged Necramech Engine	2000	standing	0	
Damaged Necramech Pod	2000	standing	0	
Damaged Necramech Weapon Pod	2000	standing	0	
Macro Thymoid Blueprint	1000	standing	1	
Arcroid Blueprint	1000	standing	1	
Zymos Blueprint	2000	standing	1	
Zymos Barrel Blueprint	1000	standing	1	
Zymos Receiver Blueprint	1000	standing	1	
Sepulcrum Blueprint	4000	standing	2	
Sepulcrum Barrel Blueprint	2000	standing	2	
Sepulcrum Receiver Blueprint	2000	standing	2	
Lavos Blueprint	5000	standing	2	
Trumna Blueprint	5000	standing	3	
Trumna Barrel Blueprint	2500	standing	3	
Trumna Receiver Blueprint	2500	standing	3	
Trumna Stock Blueprint	2500	standing	3	
Lavos Chassis	5000	standing	3	
Lavos Neuroptics	5000	standing	3	
Lavos Systems	5000	standing	3	
Damzav-Vati	20000	standing	4	
Zazvat-Kar	20000	standing	4	
Bhisaj-Bal	20000	standing	4	
Hata-Satya	20000	standing	4	
Cedo Blueprint	5000	standing	4	
Cedo Barrel	5000	standing	5	
Cedo Receiver	5000	standing	5	
Cedo Stock	5000	standing	5	
Spari Spear	500	standing	0	
Cryptosuctus Trophy Blueprint	1500	standing	1	
Barbisteo Trophy Blueprint	1500	standing	1	
Kymaeros Trophy Blueprint	1500	standing	1	
Amniophysi Trophy Blueprint	1500	standing	1	
Lobotriscid Trophy Blueprint	1500	standing	1	
Glutinox Trophy Blueprint	3000	standing	2	
Ostimyr Trophy Blueprint	3000	standing	2	
Vitreospina Trophy Blueprint	3000	standing	2	
Chondricord Trophy Blueprint	5000	standing	3	
Duroid Trophy Blueprint	5000	standing	3	
Ebisu Spear	5000	standing	3	
Processed Fass Residue	300	standing	3	
Aquapulmo Trophy Blueprint	7500	standing	4	
Flagellocanth Trophy Blueprint	7500	standing	4	
Processed Vome Residue	400	standing	4	
Myxostomata Trophy Blueprint	10000	standing	5	
Cryptilex Echo-Lure	500	standing	0	
Cryptilex Pheromone Gland	150	standing	0	
Tranq Rifle	500	standing	0	
Purple Velocipod K-Drive Skin	50000	standing	0	
Green Velocipod K-Drive Skin	50000	standing	0	
White Velocipod K-Drive Skin	50000	standing	0	
Vulpaphyla Echo-Lure	1000	standing	1	
Vulpaphyla Pheromone Gland	150	standing	1	
Predasite Echo-Lure	1000	standing	1	
Predasite Pheromone Gland	150	standing	1	
Desus Antigen Blueprint	1250	standing	1	
Iranon Antigen Blueprint	1250	standing	1	
Adra Mutagen Blueprint	1250	standing	1	
Leptosam Mutagen Blueprint	1250	standing	1	
Entrati Stranger Sigil	5000	standing	1	
Avichaea Echo-Lure	2000	standing	2	
Avichaea Pheromone Gland	150	standing	2	
Virox Antigen Blueprint	2500	standing	2	
Elasmun Antigen Blueprint	2500	standing	2	
Elsa Mutagen Blueprint	2500	standing	2	
Chiten Mutagen Blueprint	2500	standing	2	
Entrati Acquaintance Sigil	10000	standing	2	
Undazoa Echo-Lure	3000	standing	3	
Undazoa Pheromone Gland	150	standing	3	
Plagen Antigen Blueprint	4000	standing	3	
Ibexan Antigen Blueprint	4000	standing	3	
Zarim Mutagen Blueprint	4000	standing	3	
Arioli Mutagen Blueprint	4000	standing	3	
Helminth Segment Blueprint	15000	standing	3	
Entrati Associate Sigil	15000	standing	3	
Vicious Bond	20000	standing	3	
Seismic Bond	20000	standing	3	
Contagious Bond	20000	standing	3	
Duplex Bond	20000	standing	3	
Poxi Antigen Blueprint	6000	standing	4	
Tethron Antigen Blueprint	6000	standing	4	
Phijar Mutagen Blueprint	6000	standing	4	
Monachod Mutagen Blueprint	6000	standing	4	
Martyr Symbiosis	10000	standing	4	
Volatile Parasite	10000	standing	4	
Entrati Friend Sigil	20000	standing	4	
Deimos Cambion Drift Scene	130000	standing	5	
Helminth Invigoration Segment Blueprint	30000	standing	5	
Entrati Family Sigil	30000	standing	5	
Faceted Tiametrite X10 Blueprint	1000	standing	0	
Purged Dagonic X10 Blueprint	1000	standing	0	
Adramal Alloy X20 Blueprint	1000	standing	0	
Tempered Bapholite X20 Blueprint	1000	standing	0	
Purified Heciphron X10 Blueprint	2000	standing	1	
Devolved Namalon X20 Blueprint	2000	standing	1	
Stellated Necrathene X10 Blueprint	4000	standing	2	
Thaumic Distillate X20 Blueprint	4000	standing	2	
Relic Pack	20000	standing	2	
Trapezium Xenorhast X3 Blueprint	8000	standing	3	
Cabochon Embolos X3 Blueprint	8000	standing	3	
