# Necraloid offerings — seeded from wiki.warframe.com by scripts/scrape_vendors.py
# item	cost	currency	rank	slug_hint
Voidrig Casing Blueprint	2000	standing	1	
Voidrig Engine Blueprint	2000	standing	1	
Voidrig Capsule Blueprint	2000	standing	1	
Voidrig Weapon Pod Blueprint	2000	standing	1	
Necraloid Agnesis Sigil	5000	standing	1	
Damaged Necramech Weapon Barrel	2500	standing	1	
Damaged Necramech Weapon Receiver	2500	standing	1	
Damaged Necramech Weapon Stock	2500	standing	1	
Arum Spinosa Blueprint	8000	standing	2	
Arum Spinosa Guard	6000	standing	2	
Arum Spinosa Rivet	6000	standing	2	
Voidrig Necramech Blueprint	5000	standing	2	
Bonewidow Casing Blueprint	3500	standing	2	
Bonewidow Engine Blueprint	3500	standing	2	
Bonewidow Capsule Blueprint	3500	standing	2	
Bonewidow Weapon Pod Blueprint	3500	standing	2	
Cortege Barrel Blueprint	4000	standing	2	
Cortege Receiver Blueprint	4000	standing	2	
Cortege Stock Blueprint	4000	standing	2	
Morgha Barrel Blueprint	4000	standing	2	
Morgha Receiver Blueprint	4000	standing	2	
Morgha Stock Blueprint	4000	standing	2	
Bonewidow In Action Glyph	7500	standing	2	
Voidrig In Action Glyph	7500	standing	2	
Necramech Vitality	10000	standing	2	
Necramech Refuel	10000	standing	2	
Necraloid Modus Sigil	10000	standing	2	
Sporothrix Blueprint	8000	standing	3	
Sporothrix Barrel	6000	standing	3	
Sporothrix Receiver	6000	standing	3	
Sporothrix Stock	6000	standing	3	
Bonewidow Blueprint	10000	standing	3	
Cortege Blueprint	8000	standing	3	
Morgha Blueprint	8000	standing	3	
Necramech Intensify	25000	standing	3	
Necramech Pressure Point	25000	standing	3	
Necramech Efficiency	25000	standing	3	
Necramech Drift	25000	standing	3	
Necramech Friction	25000	standing	3	
Necramech Flow	25000	standing	3	
Deimos Chamber Scene	70000	standing	3	
Loid Sentinel Skin	30000	standing	3	
Loid Sentinel Mask	10000	standing	3	
Loid Sentinel Tail	10000	standing	3	
Loid Sentinel Wing	10000	standing	3	
Ayatan Kitha Sculpture	50000	standing	3	
Necraloid Odima Sigil	15000	standing	3	
