# New_Loka offerings — seeded from wiki.warframe.com by scripts/scrape_vendors.py
# item	cost	currency	rank	slug_hint
New Loka Sigil	1000	standing	1	
5x Ancient Healer Specter	2500	standing	1	
Sacrifice Sigil	2500	standing	1	
Seed Sigil	5000	standing	1	
Rebirth Sigil	7500	standing	1	
Syndicate Relic Pack	20000	standing	2	
Growth Sigil	10000	standing	2	
Clarity Sigil	15000	standing	2	
Onorix Blade	20000	standing	2	
Phaedra Stock	20000	standing	2	
Rathbone Head	20000	standing	2	
Bloom Sigil	12000	standing	3	
Purity Sigil	17000	standing	3	
Agkuza Blade	20000	standing	3	
Centaur Handle	20000	standing	3	
Squad Health Restore (Large) Blueprint	25000	standing	3	
Winds of Purity	25000	standing	4	
Disarming Purity	25000	standing	4	
Bright Purity	25000	standing	4	
Lasting Purity	25000	standing	4	
Gaia Sigil	15000	standing	4	
Bounty Sigil	20000	standing	4	
Seed Sculpture	50000	standing	4	
Elusive Retribution	25000	standing	5	
Endless Lullaby	25000	standing	5	
Reactive Storm	25000	standing	5	
Duality	25000	standing	5	
Calm & Frenzy	25000	standing	5	
Peaceful Provocation	25000	standing	5	
Energy Transfer	25000	standing	5	
Shattered Storm	25000	standing	5	
Mending Splinters	25000	standing	5	
Spectrosiphon	25000	standing	5	
Viral Tempest	25000	standing	5	
Tidal Impunity	25000	standing	5	
Rousing Plunder	25000	standing	5	
Pilfering Swarm	25000	standing	5	
Omikuji's Fortune	25000	standing	5	
Volatile Recompense	25000	standing	5	
Wrath of Ukko	25000	standing	5	
Swift Bite	25000	standing	5	
Valence Formation	25000	standing	5	
Lingering Transmutation	25000	standing	5	
Greedy Pull	25000	standing	5	
Magnetized Discharge	25000	standing	5	
Counter Pulse	25000	standing	5	
Fracturing Crush	25000	standing	5	
Mind Freak	25000	standing	5	
Pacifying Bolts	25000	standing	5	
Chaos Sphere	25000	standing	5	
Assimilate	25000	standing	5	
Smite Infusion	25000	standing	5	
Hallowed Eruption	25000	standing	5	
Phoenix Renewal	25000	standing	5	
Hallowed Reckoning	25000	standing	5	
Partitioned Mallet	25000	standing	5	
Conductor	25000	standing	5	
Spellbound Harvest	25000	standing	5	
Beguiling Lantern	25000	standing	5	
Razorwing Blitz	25000	standing	5	
Ironclad Flight	25000	standing	5	
Axios Javelineers	25000	standing	5	
Tharros Lethality	25000	standing	5	
Intrepid Stand	25000	standing	5	
Pool Of Life	25000	standing	5	
Vampire Leech	25000	standing	5	
Abating Link	25000	standing	5	
Champion's Blessing	25000	standing	5	
Swing Line	25000	standing	5	
Eternal War	25000	standing	5	
Prolonged Paralysis	25000	standing	5	
Hysterical Assault	25000	standing	5	
Enraged	25000	standing	5	
Fused Reservoir	25000	standing	5	
Critical Surge	25000	standing	5	
Cataclysmic Gate	25000	standing	5	
Target Fixation	25000	standing	5	
Airburst Rounds	25000	standing	5	
Jet Stream	25000	standing	5	
Funnel Clouds	25000	standing	5	
Anchored Glide	25000	standing	5	
Celestial Stomp	25000	standing	5	
Enveloping Cloud	25000	standing	5	
Primal Rage	25000	standing	5	
Merulina Guardian	25000	standing	5	
Loyal Merulina	25000	standing	5	
Surging Blades	25000	standing	5	
Rhythm Guard	25000	standing	5	
Kumihimo Loading	25000	standing	5	
Humanity Sigil	30000	standing	5	
Sancti Castanas	100000	standing	5	
Sancti Tigris	125000	standing	5	
Sancti Magistar	125000	standing	5	
Sancti Syandana	100000	standing	5	
Amaryn's Retreat Scene	100000	standing	5	
Grineer Shipyards Manufactory Scene	100000	standing	5	
Silver Grove Shrine Scene	100000	standing	5	
New Loka Stencil	125000	standing	5	
Exilus Weapon Adapter Blueprint	75000	standing	5	
New Loka Combat Emote	70000	standing	5	
New Loka Engineering Emote	70000	standing	5	
New Loka Piloting Emote	70000	standing	5	
New Loka Endurance Emote	70000	standing	5	
Lokan Armor Set	125000	standing	5	
Moonlit Courtyard Simulacrum	100000	standing	5	
Vosfor Cache	30000	standing	5	
