# Ostron offerings — seeded from wiki.warframe.com by scripts/scrape_vendors.py
# item	cost	currency	rank	slug_hint
Lanzo Fishing Spear	500	standing	0	
Tulok Fishing Spear	500	standing	0	
Peram Fishing Spear	500	standing	0	
Peppered Bait	50	standing	0	
Luminous Dye	100	standing	0	
Nosam Cutter	500	standing	0	
Tear Azurite x10 Blueprint	1000	standing	0	
Pyrotic Alloy x20 Blueprint	1000	standing	0	
Ruhang Blueprint	1000	standing	0	
Jai Blueprint	1000	standing	0	
Peye Blueprint	1000	standing	0	
Seekalla Blueprint	1000	standing	0	
Laka Blueprint	1000	standing	0	
Jayap Blueprint	1000	standing	0	
Kwath Blueprint	1000	standing	0	
Kroostra Blueprint	1000	standing	0	
Korb Blueprint	1000	standing	0	
Shtung Blueprint	1000	standing	0	
Balla Blueprint	1000	standing	0	
Ooltha Blueprint	1000	standing	0	
Kronsh Blueprint	1000	standing	0	
Dehtat Blueprint	1000	standing	0	
Mewan Blueprint	1000	standing	0	
Cyath Blueprint	1000	standing	0	
Sepfahn Blueprint	1000	standing	0	
Rabvee Blueprint	1000	standing	0	
Dokrahm Blueprint	1000	standing	0	
Kuaka Echo-Lure	500	standing	0	
Kuaka Pheromone Oota	100	standing	0	
Twilight Bait	100	standing	1	
Mawfish Trophy Blueprint	2000	standing	1	
Khut-Khut Trophy Blueprint	2000	standing	1	
Yogwun Trophy Blueprint	2000	standing	1	
Charc Eel Trophy Blueprint	2000	standing	1	
Goopolla Trophy Blueprint	2000	standing	1	
Esher Devar x10 Blueprint	5000	standing	1	
Coprite Alloy x20 Blueprint	5000	standing	1	
Ruhang II Blueprint	2000	standing	1	
Jai II Blueprint	2000	standing	1	
Condroc Echo-Lure	1000	standing	1	
Condroc Pheromone Oota	200	standing	1	
Murkray Bait	200	standing	2	
Tralok Trophy Blueprint	5000	standing	2	
Mortus Lungfish Trophy Blueprint	5000	standing	2	
Focused Nosam Cutter	750	standing	2	
Marquise Veridos x10 Blueprint	10000	standing	2	
Fersteel Alloy x20 Blueprint	10000	standing	2	
Vargeet Ruhang Blueprint	5000	standing	2	
Ekwana Ruhang Blueprint	5000	standing	2	
Vargeet Jai Blueprint	5000	standing	2	
Ekwana Jai Blueprint	5000	standing	2	
Mergoo Echo-Lure	2000	standing	2	
Mergoo Pheromone Oota	200	standing	2	
Norg Bait	300	standing	3	
Sharrac Trophy Blueprint	7500	standing	3	
Karkina Trophy Blueprint	7500	standing	3	
Pharoma	100	standing	3	
Star Crimzian x6 Blueprint	15000	standing	3	
Auroxium Alloy x20 Blueprint	15000	standing	3	
Vargeet II Ruhang Blueprint	7500	standing	3	
Ekwana II Ruhang Blueprint	7500	standing	3	
Vargeet II Jai Blueprint	7500	standing	3	
Ekwana II Jai Blueprint	7500	standing	3	
Vasca Kavat Echo-Lure	3000	standing	3	
Vasca Kavat Pheromone Oota	200	standing	3	
Vasca Curative	500	standing	3	
Cuthol Bait	400	standing	4	
Murkray Trophy Blueprint	10000	standing	4	
Norg Trophy Blueprint	10000	standing	4	
Cuthol Trophy Blueprint	10000	standing	4	
Boot Trophy Blueprint	10000	standing	4	
Advanced Nosam Cutter	1000	standing	4	
Radian Sentirum x3 Blueprint	20000	standing	4	
Heart Nyth x3 Blueprint	20000	standing	4	
Cracked Jug	50000	standing	4	
Wide Fruit Basket	50000	standing	4	
Modest Fruit Basket	50000	standing	4	
Bountiful Fruit Basket	50000	standing	4	
Red Spices	50000	standing	4	
Iradite Nugget	50000	standing	4	
Vargeet Ruhang II Blueprint	10000	standing	4	
Ekwana Ruhang II Blueprint	10000	standing	4	
Vargeet Jai II Blueprint	10000	standing	4	
Ekwana Jai II Blueprint	10000	standing	4	
Glappid Bait	500	standing	5	
Glappid Trophy Blueprint	12500	standing	5	
Plains of Eidolon Scene	130000	standing	5	
Cetus Scene	130000	standing	5	
Blue Spices	100000	standing	5	
Blue Cetus Sign	100000	standing	5	
Red Cetus Sign	100000	standing	5	
Green Cetus Sign	100000	standing	5	
Fishing Boot	100000	standing	5	
Exodia Brave	10000	standing	5	
Exodia Valor	10000	standing	5	
Exodia Might	10000	standing	5	
Exodia Triumph	10000	standing	5	
Exodia Hunt	10000	standing	5	
Exodia Force	10000	standing	5	
Veridos Glyph	75000	standing	5	
Goopolla Glyph	25000	standing	5	
Common Condroc Glyph	75000	standing	5	
