# The_Perrin_Sequence offerings — seeded from wiki.warframe.com by scripts/scrape_vendors.py
# item	cost	currency	rank	slug_hint
Perrin Sequence Sigil	1000	standing	1	
5x Moa Specter	2500	standing	1	
Progress Sigil	2500	standing	1	
Opportunity Sigil	5000	standing	1	
Calculating Sigil	7500	standing	1	
Syndicate Relic Pack	20000	standing	2	
Synergy Sigil	10000	standing	2	
Directives Sigil	15000	standing	2	
Onorix Handle	20000	standing	2	
Phaedra Receiver	20000	standing	2	
Strategy Sigil	12000	standing	3	
Tessellations Sigil	17000	standing	3	
Centaur Blade	20000	standing	3	
Cyngas Stock	25000	standing	3	
Squad Energy Restore (Large) Blueprint	25000	standing	3	
Toxic Sequence	25000	standing	4	
Deadly Sequence	25000	standing	4	
Voltage Sequence	25000	standing	4	
Sequence Burn	25000	standing	4	
Optimum Sigil	15000	standing	4	
Capital Sigil	20000	standing	4	
Quittance Sculpture	50000	standing	4	
Sonic Fracture	25000	standing	5	
Resonance	25000	standing	5	
Savage Silence	25000	standing	5	
Resonating Quake	25000	standing	5	
Razor Mortar	25000	standing	5	
Afterburn	25000	standing	5	
Everlasting Ward	25000	standing	5	
Vexing Retaliation	25000	standing	5	
Guardian Armor	25000	standing	5	
Guided Effigy	25000	standing	5	
Spectral Spirit	25000	standing	5	
Mach Crash	25000	standing	5	
Thermal Transfer	25000	standing	5	
Conductive Sphere	25000	standing	5	
Coil Recharge	25000	standing	5	
Cathode Current	25000	standing	5	
Reverse Rotorswell	25000	standing	5	
Balefire Surge	25000	standing	5	
Blazing Pillage	25000	standing	5	
Aegis Gale	25000	standing	5	
Desiccation's Curse	25000	standing	5	
Elemental Sandstorm	25000	standing	5	
Negation Armor	25000	standing	5	
Empowered Quiver	25000	standing	5	
Piercing Navigator	25000	standing	5	
Infiltrate	25000	standing	5	
Concentrated Arrow	25000	standing	5	
Greedy Pull	25000	standing	5	
Magnetized Discharge	25000	standing	5	
Counter Pulse	25000	standing	5	
Fracturing Crush	25000	standing	5	
Soul Survivor	25000	standing	5	
Creeping Terrify	25000	standing	5	
Despoil	25000	standing	5	
Shield of Shadows	25000	standing	5	
Teeming Virulence	25000	standing	5	
Larva Burst	25000	standing	5	
Parasitic Vitality	25000	standing	5	
Insatiable	25000	standing	5	
Abundant Mutation	25000	standing	5	
Repair Dispensary	25000	standing	5	
Temporal Artillery	25000	standing	5	
Temporal Erosion	25000	standing	5	
Thrall Pact	25000	standing	5	
Mesmer Shield	25000	standing	5	
Blinding Reave	25000	standing	5	
Ironclad Charge	25000	standing	5	
Iron Shrapnel	25000	standing	5	
Piercing Roar	25000	standing	5	
Reinforcing Stomp	25000	standing	5	
Pool Of Life	25000	standing	5	
Vampire Leech	25000	standing	5	
Abating Link	25000	standing	5	
Champion's Blessing	25000	standing	5	
Swing Line	25000	standing	5	
Eternal War	25000	standing	5	
Prolonged Paralysis	25000	standing	5	
Hysterical Assault	25000	standing	5	
Enraged	25000	standing	5	
Tesla Bank	25000	standing	5	
Repelling Bastille	25000	standing	5	
Photon Repeater	25000	standing	5	
Shadow Haze	25000	standing	5	
Dark Propagation	25000	standing	5	
Reroot Rampage	25000	standing	5	
Chairman Sigil	30000	standing	5	
Secura Dual Cestra	100000	standing	5	
Secura Penta	125000	standing	5	
Secura Lecta	125000	standing	5	
Secura Syandana	100000	standing	5	
Ergo's Boardroom Scene	100000	standing	5	
Corpus Gas City Conduit Scene	100000	standing	5	
Mycona Colony Scene	100000	standing	5	
The Perrin Sequence Stencil	125000	standing	5	
Exilus Weapon Adapter Blueprint	75000	standing	5	
Perrin Piloting Emote	70000	standing	5	
Perrin Endurance Emote	70000	standing	5	
Perrin Armor Set	125000	standing	5	
Ambulas Arena Simulacrum	100000	standing	5	
Vosfor Cache	30000	standing	5	
