# The_Quills offerings — seeded from wiki.warframe.com by scripts/scrape_vendors.py
# item	cost	currency	rank	slug_hint
Mote Amp Blueprint	500	standing	0	
Exceptional Sentient Core Conversion	500	standing	0	
Raplak Prism Blueprint	1000	standing	1	
Pencha Scaffold Blueprint	1000	standing	1	
Clapkra Brace Blueprint	1000	standing	1	
Ceno Cuirass Blueprint	2000	standing	1	
Ceno Apparel Blueprint	2000	standing	1	
Vahd Cuirass Blueprint	2000	standing	1	
Vahd Apparel Blueprint	2000	standing	1	
Magus Vigor	2500	standing	1	
Virtuos Null	2500	standing	1	
Quills Mote Sigil	5000	standing	1	
Shwaak Prism Blueprint	1500	standing	2	
Shraksun Scaffold Blueprint	1500	standing	2	
Juttni Brace Blueprint	1500	standing	2	
Ceno Pauldrons Blueprint	5000	standing	2	
Vahd Pauldrons Blueprint	5000	standing	2	
Magus Husk	5000	standing	2	
Virtuos Tempo	5000	standing	2	
Quills Observer Sigil	10000	standing	2	
Granmu Prism Blueprint	2000	standing	3	
Klebrik Scaffold Blueprint	2000	standing	3	
Lohrin Brace Blueprint	2000	standing	3	
Virtuos Fury	7500	standing	3	
Ceno Greaves Blueprint	7500	standing	3	
Vahd Greaves Blueprint	7500	standing	3	
Quills Adherent Sigil	15000	standing	3	
Rahn Prism Blueprint	2500	standing	4	
Phahd Scaffold Blueprint	2500	standing	4	
Anspatha Brace Blueprint	2500	standing	4	
Magus Cloud	10000	standing	4	
Virtuos Strike	10000	standing	4	
Ceno Helmet Blueprint	10000	standing	4	
Vahd Mask Blueprint	10000	standing	4	
Magus Cadence	10000	standing	4	
Magus Replenish	10000	standing	4	
Glowing Sentient Core	10000	standing	4	
Eidolon Relic	10000	standing	4	
Quills Instrument Sigil	20000	standing	4	
Virtuos Shadow	10000	standing	5	
Virtuos Ghost	10000	standing	5	
Magus Elevate	10000	standing	5	
Magus Nourish	10000	standing	5	
Cetus Wisp	2000	standing	5	
Agkani Stone	25000	standing	5	
Hood Display Black	25000	standing	5	
Hood Display Teal	25000	standing	5	
Hood Display Grey	25000	standing	5	
Onkko's Command Post Scene	100000	standing	5	
Quills Architect Sigil	30000	standing	5	
