# Red_Veil offerings — seeded from wiki.warframe.com by scripts/scrape_vendors.py
# item	cost	currency	rank	slug_hint
Red Veil Sigil	1000	standing	1	
5x Charger Specter	2500	standing	1	
Blades Sigil	2500	standing	1	
Cull Sigil	5000	standing	1	
Threat Sigil	7500	standing	1	
Syndicate Relic Pack	20000	standing	2	
Maelstrom Sigil	10000	standing	2	
Lesion Sigil	15000	standing	2	
Kaszas Blade	20000	standing	2	
Velocitus Stock	20000	standing	2	
Rathbone Handle	20000	standing	2	
Ruin Sigil	12000	standing	3	
Viscera Sigil	17000	standing	3	
Agkuza Handle	20000	standing	3	
Fluctus Limbs	20000	standing	3	
Squad Ammo Restore (Large) Blueprint	25000	standing	3	
Gleaming Blight	25000	standing	4	
Eroding Blight	25000	standing	4	
Stockpiled Blight	25000	standing	4	
Toxic Blight	25000	standing	4	
Malevolent Sigil	15000	standing	4	
Covert Sigil	20000	standing	4	
Mark Sculpture	50000	standing	4	
Seeking Shuriken	25000	standing	5	
Smoke Shadow	25000	standing	5	
Teleport Rush	25000	standing	5	
Rising Storm	25000	standing	5	
Path of Statues	25000	standing	5	
Tectonic Fracture	25000	standing	5	
Ore Gaze	25000	standing	5	
Titanic Rumbler	25000	standing	5	
Rubble Heap	25000	standing	5	
Prismatic Companion	25000	standing	5	
Recrystalize	25000	standing	5	
Spectral Spirit	25000	standing	5	
Fireball Frenzy	25000	standing	5	
Immolated Radiance	25000	standing	5	
Healing Flame	25000	standing	5	
Exothermic	25000	standing	5	
Warrior's Rest	25000	standing	5	
Dread Ward	25000	standing	5	
Blood Forge	25000	standing	5	
Blending Talons	25000	standing	5	
Gourmand	25000	standing	5	
Hearty Nourishment	25000	standing	5	
Catapult	25000	standing	5	
Gastro	25000	standing	5	
Tribunal	25000	standing	5	
Warding Thurible	25000	standing	5	
Lasting Covenant	25000	standing	5	
Jade's Judgment	25000	standing	5	
Accumulating Whipclaw	25000	standing	5	
Venari Bodyguard	25000	standing	5	
Pilfering Strangledome	25000	standing	5	
Swift Bite	25000	standing	5	
Valence Formation	25000	standing	5	
Lingering Transmutation	25000	standing	5	
Savior Decoy	25000	standing	5	
Damage Decoy	25000	standing	5	
Hushed Invisibility	25000	standing	5	
Safeguard Switch	25000	standing	5	
Irradiating Disarm	25000	standing	5	
Ballistic Bullseye	25000	standing	5	
Staggering Shield	25000	standing	5	
Muzzle Flash	25000	standing	5	
Mesa's Waltz	25000	standing	5	
Soul Survivor	25000	standing	5	
Creeping Terrify	25000	standing	5	
Despoil	25000	standing	5	
Shield of Shadows	25000	standing	5	
Venom Dose	25000	standing	5	
Revealing Spores	25000	standing	5	
Regenerative Molt	25000	standing	5	
Contagion Cloud	25000	standing	5	
Spellbound Harvest	25000	standing	5	
Beguiling Lantern	25000	standing	5	
Razorwing Blitz	25000	standing	5	
Ironclad Flight	25000	standing	5	
Shock Trooper	25000	standing	5	
Shocking Speed	25000	standing	5	
Transistor Shield	25000	standing	5	
Capacitance	25000	standing	5	
Prey of Dynar	25000	standing	5	
Ulfrun's Endurance	25000	standing	5	
Target Fixation	25000	standing	5	
Airburst Rounds	25000	standing	5	
Jet Stream	25000	standing	5	
Funnel Clouds	25000	standing	5	
Reroot Rampage	25000	standing	5	
Anchored Glide	25000	standing	5	
Assassin Sigil	30000	standing	5	
Rakta Ballistica	100000	standing	5	
Rakta Cernos	125000	standing	5	
Rakta Dark Dagger	125000	standing	5	
Asita Rakta Syandana	100000	standing	5	
Veil's Binding Scene	100000	standing	5	
Harrow's Temple Scene	100000	standing	5	
Infested Ship Bridge Scene	100000	standing	5	
Hunhow's Chamber Scene	100000	standing	5	
Red Veil Stencil	125000	standing	5	
Exilus Weapon Adapter Blueprint	75000	standing	5	
Red Veil Engineering Emote	70000	standing	5	
Red Veil Piloting Emote	70000	standing	5	
Red Veil Armor Set	125000	standing	5	
Red Veil Temple Simulacrum	100000	standing	5	
Vosfor Cache	30000	standing	5	
