# Solaris_United offerings — seeded from wiki.warframe.com by scripts/scrape_vendors.py
# item	cost	currency	rank	slug_hint
Catchmoon Blueprint	500	standing	0	
Tombfinger Blueprint	500	standing	0	
Rattleguts Blueprint	500	standing	0	
Gaze Blueprint	500	standing	0	
Ramble Blueprint	750	standing	0	
Lovetap Blueprint	500	standing	0	
Deepbreath Blueprint	500	standing	0	
Slap Blueprint	500	standing	0	
Haymaker Blueprint	1000	standing	1	
Gibber Blueprint	1000	standing	1	
Brash Blueprint	1000	standing	1	
Shrewd Blueprint	1000	standing	1	
Bellows Blueprint	1000	standing	1	
Zip Blueprint	1000	standing	1	
Bashrack Blueprint	2000	standing	2	
Slapneedle Blueprint	2000	standing	2	
Sparkfire Blueprint	2000	standing	2	
Swiftfire Blueprint	2000	standing	2	
Steadyslam Blueprint	2000	standing	2	
Tremor Blueprint	2000	standing	2	
Stitch Blueprint	2000	standing	3	
Zipneedle Blueprint	3000	standing	3	
Thunderdrum Blueprint	3000	standing	3	
Zipfire Blueprint	3000	standing	3	
Splat Blueprint	4000	standing	4	
Killstream Blueprint	4000	standing	4	
Ramflare Blueprint	4000	standing	4	
Flutterfire Blueprint	4000	standing	4	
Pax Soar	10000	standing	5	
Pax Charge	10000	standing	5	
Pax Bolt	10000	standing	5	
Pax Seeker	10000	standing	5	
Solaris Armor Set	125000	standing	5	
Drimper Bracket Blueprint	500	standing	0	
Tian Bracket Blueprint	500	standing	0	
Para Moa Blueprint	500	standing	0	
Drex Core Blueprint	500	standing	0	
Trux Gyro Blueprint	500	standing	0	
Lambeo Moa Blueprint	1000	standing	1	
Krisys Core Blueprint	1000	standing	1	
Jonsin Bracket Blueprint	1000	standing	1	
Harpen Gyro Blueprint	1000	standing	1	
Oloro Moa Blueprint	2000	standing	2	
Alcrom Core Blueprint	2000	standing	2	
Gauth Bracket Blueprint	2000	standing	2	
Aegron Gyro Blueprint	2000	standing	2	
Nychus Moa Blueprint	3000	standing	3	
Munit Gyro Blueprint	3000	standing	3	
Hona Bracket Blueprint	3000	standing	3	
Hextra Gyro Blueprint	3000	standing	3	
Lehan Core Blueprint	4000	standing	4	
Phazor Gyro Blueprint	4000	standing	4	
Atheca Gyro Blueprint	4000	standing	4	
Tyli Gyro Blueprint	4000	standing	4	
Cryotra Blueprint	10000	standing	5	
Tazicor Blueprint	10000	standing	5	
Vulcax Blueprint	10000	standing	5	
Helstrum Blueprint	10000	standing	5	
Tranq Rifle	500	standing	0	
Pobbers Echo-Lure	500	standing	0	
Pobbers Pheromone Synthesizer	100	standing	0	
Shockprod Fishing Spear	500	standing	0	
Broad-Spectrum Bait	50	standing	0	
Virmink Echo-Lure	1000	standing	1	
Virmink Pheromone Synthesizer	100	standing	1	
Kriller Bait	100	standing	1	
Narrow-Spectrum Bait	100	standing	1	
Sapcaddy Trophy Blueprint	1500	standing	1	
Echowinder Trophy Blueprint	1500	standing	1	
Brickie Trophy Blueprint	1500	standing	1	
Scrubber Trophy Blueprint	1500	standing	1	
Tink Trophy Blueprint	1500	standing	1	
Sawgaw Echo-Lure	2000	standing	2	
Sawgaw Pheromone Synthesizer	200	standing	2	
Mirewinder Bait	200	standing	2	
Longwinder Bait	200	standing	2	
Eye-Eye Trophy Blueprint	3000	standing	2	
Kriller Trophy Blueprint	3000	standing	2	
Recaster Trophy Blueprint	3000	standing	2	
Bolarola Echo-Lure	4000	standing	3	
Bolarola Pheromone Synthesizer	300	standing	3	
Reinforced Bond	20000	standing	3	
Aerial Bond	20000	standing	3	
Momentous Bond	20000	standing	3	
Tenacious Bond	20000	standing	3	
AstralBond	20000	standing	3	
Tromyzon Bait	300	standing	3	
Charamote Bait	300	standing	3	
Stunna Fishing Spear	5000	standing	3	
Mirewinder Trophy Blueprint	6000	standing	3	
Longwinder Trophy Blueprint	6000	standing	3	
Synathid Bait	400	standing	4	
Horrasque Echo-Lure	8000	standing	4	
Horrasque Pheromone Synthesizer	400	standing	4	
Stover Echo-Lure	8000	standing	4	
Stover Pheromone Synthesizer	400	standing	4	
Charamote Trophy Blueprint	9000	standing	4	
Tromyzon Trophy Blueprint	9000	standing	4	
Boot Trophy Blueprint	10000	standing	4	
Kubrodon Echo-Lure	10000	standing	5	
Kubrodon Pheromone Synthesizer	500	standing	5	
Synathid Trophy Blueprint	15000	standing	5	
Oxylus Blueprint	20000	standing	5	
Sapcaddy Glyph	75000	standing	5	
Delicate Pobber Glyph	75000	standing	5	
Sunpoint Plasma Drill	2500	standing	0	
Smooth Phasmin X10 Blueprint	1000	standing	0	
Travocyte Alloy X20 Blueprint	1000	standing	0	
Heart Noctrul X10 Blueprint	1000	standing	0	
Axidrol Alloy X20 Blueprint	1000	standing	0	
Goblite Tears X10 Blueprint	2000	standing	1	
Venerdo Alloy X20 Blueprint	2000	standing	1	
Solaris United Outworlder Sigil	5000	standing	1	
Star Amarast X6 Blueprint	4000	standing	2	
Hespazym Alloy X20 Blueprint	4000	standing	2	
Solaris United Rapscallion Sigil	10000	standing	2	
Relic Pack	20000	standing	2	
Radiant Zodian X3 Blueprint	8000	standing	3	
Solaris United Doer Sigil	15000	standing	3	
Marquise Thyst X3 Blueprint	12000	standing	4	
Solaris United Cove Sigil	20000	standing	4	
Tepa Decoration	10000	standing	4	
Thermal Sludge Cannister Decoration	10000	standing	4	
Orb Vallis Scene	130000	standing	5	
Fortuna Scene	130000	standing	5	
Sunpoint Plasma Drill Range Widget	30000	standing	5	
Sunpoint Plasma Drill Silencer Widget	30000	standing	5	
Goblite Glyph	75000	standing	5	
Solaris United Old Mate Sigil	30000	standing	5	
