# Steel_Meridian offerings — seeded from wiki.warframe.com by scripts/scrape_vendors.py
# item	cost	currency	rank	slug_hint
Steel Meridian Sigil	1000	standing	1	
5x Roller Specter	2500	standing	1	
Defiance Sigil	2500	standing	1	
Armada Sigil	5000	standing	1	
Vigilance Sigil	7500	standing	1	
Syndicate Relic Pack	20000	standing	2	
Uprising Sigil	10000	standing	2	
Protectorate Sigil	15000	standing	2	
Kaszas Handle	20000	standing	2	
Velocitus Receiver	20000	standing	2	
Corvas Stock	20000	standing	2	
Freedom Fighter Sigil	12000	standing	3	
Armored Sigil	17000	standing	3	
Agkuza Guard	20000	standing	3	
Fluctus Stock	20000	standing	3	
Squad Health Restore (Large) Blueprint	25000	standing	3	
Scattered Justice	25000	standing	4	
Justice Blades	25000	standing	4	
Neutralizing Justice	25000	standing	4	
Shattering Justice	25000	standing	4	
Rebellion Sigil	15000	standing	4	
Unyielding Sigil	20000	standing	4	
Insignia Sculpture	50000	standing	4	
Path of Statues	25000	standing	5	
Tectonic Fracture	25000	standing	5	
Ore Gaze	25000	standing	5	
Titanic Rumbler	25000	standing	5	
Rubble Heap	25000	standing	5	
Prismatic Companion	25000	standing	5	
Recrystalize	25000	standing	5	
Fireball Frenzy	25000	standing	5	
Immolated Radiance	25000	standing	5	
Healing Flame	25000	standing	5	
Exothermic	25000	standing	5	
Surging Dash	25000	standing	5	
Radiant Finish	25000	standing	5	
Furious Javelin	25000	standing	5	
Chromatic Blade	25000	standing	5	
Freeze Force	25000	standing	5	
Ice Wave Impedance	25000	standing	5	
Chilling Globe	25000	standing	5	
Icy Avalanche	25000	standing	5	
Biting Frost	25000	standing	5	
Dread Ward	25000	standing	5	
Blood Forge	25000	standing	5	
Blending Talons	25000	standing	5	
Gourmand	25000	standing	5	
Hearty Nourishment	25000	standing	5	
Catapult	25000	standing	5	
Gastro	25000	standing	5	
Accumulating Whipclaw	25000	standing	5	
Venari Bodyguard	25000	standing	5	
Pilfering Strangledome	25000	standing	5	
Volatile Recompense	25000	standing	5	
Wrath of Ukko	25000	standing	5	
Ballistic Bullseye	25000	standing	5	
Staggering Shield	25000	standing	5	
Muzzle Flash	25000	standing	5	
Mesa's Waltz	25000	standing	5	
Pyroclastic Flow	25000	standing	5	
Reaping Chakram	25000	standing	5	
Safeguard	25000	standing	5	
Divine Retribution	25000	standing	5	
Controlled Slide	25000	standing	5	
Teeming Virulence	25000	standing	5	
Larva Burst	25000	standing	5	
Parasitic Vitality	25000	standing	5	
Insatiable	25000	standing	5	
Abundant Mutation	25000	standing	5	
Neutron Star	25000	standing	5	
Antimatter Absorb	25000	standing	5	
Escape Velocity	25000	standing	5	
Molecular Fission	25000	standing	5	
Smite Infusion	25000	standing	5	
Hallowed Eruption	25000	standing	5	
Phoenix Renewal	25000	standing	5	
Hallowed Reckoning	25000	standing	5	
Wrecking Wall	25000	standing	5	
Fused Crucible	25000	standing	5	
Ironclad Charge	25000	standing	5	
Iron Shrapnel	25000	standing	5	
Piercing Roar	25000	standing	5	
Reinforcing Stomp	25000	standing	5	
Venom Dose	25000	standing	5	
Revealing Spores	25000	standing	5	
Regenerative Molt	25000	standing	5	
Contagion Cloud	25000	standing	5	
Prey of Dynar	25000	standing	5	
Ulfrun's Endurance	25000	standing	5	
Vampiric Grasp	25000	standing	5	
The Relentless Lost	25000	standing	5	
Untime Rift	25000	standing	5	
Rhythm Guard	25000	standing	5	
Champion Sigil	30000	standing	5	
Vaykor Marelok	100000	standing	5	
Vaykor Hek	125000	standing	5	
Vaykor Sydon	125000	standing	5	
Vaykor Syandana	100000	standing	5	
Cressa's Garrison Scene	100000	standing	5	
Grineer Settlement Reactor Scene	100000	standing	5	
Kuva Throne Scene	100000	standing	5	
Steel Meridian Stencil	125000	standing	5	
Exilus Weapon Adapter Blueprint	75000	standing	5	
Steel Meridian Combat Emote	70000	standing	5	
Steel Meridian Gunnery Emote	70000	standing	5	
Steel Meridian Piloting Emote	70000	standing	5	
Steel Meridian Endurance Emote	70000	standing	5	
Meridian Armor Set	125000	standing	5	
Grineer Asteroid Simulacrum	100000	standing	5	
Vosfor Cache	30000	standing	5	
