# Vox_Solaris_(Syndicate) offerings — seeded from wiki.warframe.com by scripts/scrape_vendors.py
# item	cost	currency	rank	slug_hint
Haztech Pauldrons Blueprint	5000	standing	0	
Haztech Cuirass Blueprint	5000	standing	0	
Haztech Apparel Blueprint	5000	standing	0	
Haztech Mask Blueprint	5000	standing	0	
Haztech Greaves Blueprint	5000	standing	0	
Smelter Pauldrons Blueprint	5000	standing	0	
Smelter Cuirass Blueprint	5000	standing	0	
Smelter Apparel Blueprint	5000	standing	0	
Smelter Mask Blueprint	5000	standing	0	
Smelter Greaves Blueprint	5000	standing	0	
Outrider Pauldrons Blueprint	5000	standing	1	
Outrider Cuirass Blueprint	5000	standing	1	
Outrider Mask Blueprint	5000	standing	1	
Outrider Greaves Blueprint	5000	standing	1	
Vent Rat Pauldrons Blueprint	5000	standing	1	
Vent Rat Cuirass Blueprint	5000	standing	1	
Vent Rat Mask Blueprint	5000	standing	1	
Vent Rat Greaves Blueprint	5000	standing	1	
Vox Solaris Operative Sigil	5000	standing	1	
Cantic Prism Blueprint	3000	standing	2	
Exard Scaffold Blueprint	3000	standing	2	
Suo Brace Blueprint	3000	standing	2	
Virtuos Surge	5000	standing	2	
Virtuos Spike	5000	standing	2	
Baruuk Blueprint	5000	standing	2	
Hildryn Blueprint	5000	standing	2	
Vox Solaris Agent Sigil	10000	standing	2	
Lega Prism Blueprint	3000	standing	3	
Dissic Scaffold Blueprint	3000	standing	3	
Plaga Brace Blueprint	3000	standing	3	
Baruuk Chassis Blueprint	5000	standing	3	
Baruuk Neuroptics Blueprint	5000	standing	3	
Baruuk Systems Blueprint	5000	standing	3	
Virtuos Forge	7500	standing	3	
Virtuos Trojan	7500	standing	3	
Gyromag Systems	1000	standing	1	
Atmo Systems	2500	standing	2	
Repeller Systems	5000	standing	3	
Vox Solaris Hand Sigil	15000	standing	3	
Klamora Prism Blueprint	3000	standing	4	
Propa Scaffold Blueprint	3000	standing	4	
Certus Brace Blueprint	3000	standing	4	
Magus Anomaly	10000	standing	4	
Magus Destruct	10000	standing	4	
Magus Lockdown	10000	standing	4	
Magus Firewall	10000	standing	4	
Magus Drive	10000	standing	4	
Vox Solaris Instrument Sigil	20000	standing	4	
Magus Repair	10000	standing	5	
Magus Melt	10000	standing	5	
Magus Overload	10000	standing	5	
Magus Accelerant	10000	standing	5	
Magus Glitch	10000	standing	5	
Magus Revert	10000	standing	5	
Praghasa Throne Room Scene	130000	standing	5	
Vox Solaris Shadow Sigil	30000	standing	5	
